CombinedLatin,CommonName,N,Total,estimate,std.error,p.value,ResStatus,WinterStage,HostCategory,Hostplant_Specialism_Score,Voltinism,WingSize_meanFemale,Wetland,Disturbed,Range_Num,mv_analysis
Satyrium acadicum acadicum,Acadian Hairstreak,50,755,-0.05,0.04,0.21,resident,egg,woody,2,1,1.6,1,0,1,0
Lycaena phlaeas americana,American Copper,359,10255,-0.19,0.02,0,naturalized,pupa,forb,2,3,1.5,0,1,3,1
Vanessa virginiensis,American Lady,637,2029,-0.04,0.03,0.18,immigrant,adult,forb,3,3,2.8,0,1,3,0
Libytheana carinenta bachmanii,American Snout Butterfly,418,1007,-0.03,0.05,0.61,immigrant,adult,woody,2,2,2.2,0,0,5,0
Speyeria aphrodite aphrodite,Aphrodite Fritillary,131,477,-0.17,0.06,0.01,resident,larva,forb,2,1,3.8,0,0,2,0
Satyrodes appalachia leeuwi,Appalachian Eyed Brown,118,2118,0.08,0.04,0.05,resident,larva,gram,2,2,2.6,1,0,2,1
Celastrina ladon ladon,Azures,1002,63947,0.05,0.02,0.02,resident,pupa,woody,4,4,1.42,0,1,3,1
Euphydryas phaeton phaeton,Baltimore,83,818,-0.21,0.06,0,resident,larva,forb,3,1,2.8,1,0,2,0
Satyrium calanus falacer,Banded Hairstreak,468,1107,0.03,0.02,0.19,resident,egg,woody,4,1,1.5,0,0,3,0
Papilio polyxenes asterius,Black Swallowtail,941,12410,-0.04,0.02,0,resident,pupa,forb,3,3,4.7,0,1,3,1
Poanes viator viator,Broad-winged Skipper,32,4338,-0.15,0.06,0.01,resident,larva,gram,2,1,2,1,0,1,0
Lycaena hyllus,Bronze Copper,254,656,-0.06,0.04,0.1,resident,egg,forb,3,3,2,1,1,2,1
Pieris rapae,Cabbage White,1005,304105,-0.04,0.01,0,naturalized,pupa,forb,3,5,2.3,0,1,3,1
Hermeuptychia sosybius,Carolina Satyr,40,822,-0.14,0.12,0.24,resident,larva,gram,3,2,1.7,0,0,5,0
Colias philodice philodice,Clouded Sulphur,998,49267,-0.01,0.01,0.29,resident,pupa,forb,3,5,2.6,0,1,3,1
Phoebis sennae eubule,Cloudless Sulphur,355,1840,0.09,0.06,0.1,immigrant,adult,forb,2,2,3.3,0,1,5,0
Junonia coenia,Common Buckeye,834,15771,0.11,0.06,0.08,immigrant,adult,forb,4,3,2.8,0,1,5,0
Pyrgus communis,Common Checkered-Skipper,357,3089,0.1,0.04,0.02,immigrant,larva,forb,3,2,1.6,0,1,5,0
Pholisora catullus,Common Sooty Wing,398,1142,-0.07,0.03,0,resident,larva,forb,4,3,1.4,0,1,3,1
Cercyonis pegala alope,Common Wood Nymph,788,21603,-0.07,0.01,0,resident,larva,gram,3,1,3.4,0,0,3,0
Satyrium titus titus,Coral Hairstreak,217,607,-0.07,0.02,0,resident,egg,woody,3,1,1.7,0,0,3,0
Polites origenes origenes,Crossline Skipper,347,1087,0.06,0.03,0.04,resident,larva,gram,3,2,1.5,0,0,3,1
Atrytone logan logan,Delaware Skipper,313,1086,-0.01,0.03,0.7,resident,larva,gram,3,2,1.6,1,1,3,1
Erynnis icelus,Dreamy Duskywing,260,879,-0.21,0.03,0,resident,larva,woody,4,2,1.6,0,0,4,1
Euphyes dukesi,Duke's Skipper,30,139,0,0.1,0.99,resident,larva,gram,2,2,1.9,1,0,4,0
Euphyes vestris metacomet,Dun Skipper,585,1684,0.03,0.02,0.11,resident,larva,gram,3,2,1.3,1,1,3,1
Polygonia comma,Eastern Comma,944,6222,-0.01,0.01,0.56,resident,adult,forb,4,3,2.7,0,0,3,0
Everes comyntas comyntas,Eastern Tailed Blue,974,56137,0.02,0.01,0.11,resident,larva,forb,3,4,1.14,0,1,3,1
Papilio glaucus glaucus,Eastern Tiger Swallowtail,996,29299,-0.01,0.01,0.48,resident,pupa,woody,4,3,5.4,0,0,3,1
Satyrium edwardsii,Edwards' Hairstreak,59,152,-0.09,0.08,0.22,resident,egg,woody,2,1,1.5,0,0,1,0
Thymelicus lineola,European Skipper,609,46549,-0.17,0.02,0,naturalized,egg,gram,3,2,1.3,0,1,2,1
Anthocharis midea annickae,Falcate Orangetip,103,756,-0.12,0.04,0,resident,pupa,forb,3,1,1.9,0,0,5,0
Hylephila phyleus phyleus,Fiery Skipper,646,3917,0.01,0.06,0.81,immigrant,NA,gram,3,1,1.6,0,1,5,0
Cyllopsis gemma gemma,Gemmed Satyr,81,1059,0.23,0.04,0,resident,larva,gram,3,4,1.8,0,0,5,1
Papilio cresphontes,Giant Swallowtail,322,1109,0,0.02,0.91,resident,pupa,woody,3,3,5.8,0,0,4,1
Strymon melinus humuli,Gray Hairstreak,587,2418,-0.02,0.02,0.34,resident,pupa,forb,4,3,1.5,0,0,4,1
Speyeria cybele cybele,Great Spangled Fritillary,904,33573,-0.04,0.02,0.05,resident,larva,forb,2,1,4.5,0,0,3,0
Asterocampa celtis celtis,Hackberry Emperor,467,9992,-0.04,0.02,0.03,resident,larva,woody,2,2,3,0,0,4,1
Feniseca tarquinius tarquinius,Harvester,143,341,0.13,0.06,0.02,resident,larva,aphids,NA,3,1.4,0,0,3,0
Callophrys henrici henrici,Henry's Elfin,76,330,0.03,0.05,0.58,resident,pupa,woody,4,1,1.3,0,0,4,0
Satyrium caryaevorum,Hickory Hairstreak,170,196,-0.01,0.05,0.89,resident,egg,woody,3,1,1.5,0,0,2,0
Achalarus lyciades,Hoary Edge Skipper,88,291,-0.18,0.06,0,resident,pupa,forb,3,2,2.2,0,0,3,0
Poanes hobomok hobomok,Hobomok Skipper,576,6863,-0.04,0.01,0,resident,larva,gram,3,2,1.7,0,0,2,1
